Cohort,Cage,Sex,Age,startDate,BottleWeight_new,DripWeight,endDate,BottleWeight_old,TrialDur,Intake_24h,trialType,FP_dark_latrine,FP_light_latrine,FP_dark_home,FP_light_home
11,1253,F,Old,5/15/2024,178.5,0.0,5/16/2024,162.3,1,16.20,Record,20240516_06.00_C11_1253_F_latrine_ps.csv,20240516_18.00_C11_1253_F_latrine_ps.csv,NA,NA
11,1253,F,Old,5/16/2024,185.9,2.0,5/17/2024,167.0,1,16.90,Ctrl,20240517_06.00_C11_1253_F_latrine_ps.csv,20240517_18.00_C11_1253_F_latrine.csv,20240517_06.00_C11_1253_F_home_ps.csv,20240517_18.00_C11_1253_F_home_ps.csv
11,1253,F,Old,5/17/2024,167.0,2.4,5/18/2024,150.5,1,14.10,Ctrl,20240518_06.00_C11_1253_F_latrine_ps.csv,20240518_18.00_C11_1253_F_latrine.csv,20240518_06.00_C11_1253_F_home.csv,20240518_18.00_C11_1253_F_home_ps.csv
12,2158,F,Young,5/18/2024,184.0,2.0,5/19/2024,168.0,1,14.00,Accl,20240519_06.00_C12_2158_F_latrine_ps.csv,20240519_18.00_C12_2158_F_latrine.csv,NA,NA
12,2158,F,Young,5/19/2024,168.0,1.5,5/20/2024,155.6,1,10.90,Record,20240520_06.00_C12_2158_F_latrine_ps.csv,20240520_18.00_C12_2158_F_latrine.csv,NA,NA
12,2158,F,Young,5/20/2024,178.6,0.0,5/21/2024,166.4,1,12.20,Record,20240521_06.00_C12_2158_F_latrine.csv,20240521_18.00_C12_2158_F_latrine.csv,NA,NA
12,2158,F,Young,5/21/2024,166.4,1.4,5/22/2024,154.7,1,10.30,Ctrl,20240522_06.00_C12_2158_F_latrine_ps.csv,20240522_18.00_C12_2158_F_latrine.csv,20240522_06.00_C12_2158_F_home_ps.csv,20240522_18.00_C12_2158_F_home_ps.csv
12,2158,F,Young,5/22/2024,188.9,0.9,5/23/2024,176.8,1,11.20,Ctrl,20240523_06.00_C12_2158_F_latrine.csv,20240523_18.00_C12_2158_F_latrine.csv,20240523_06.00_C12_2158_F_home_ps.csv,20240523_18.00_C12_2158_F_home_ps.csv
12,2159,F,Young,5/18/2024,191.7,2.2,5/19/2024,174.8,1,14.70,Accl,20240519_06.00_C12_2159_F_latrine.csv,20240519_18.00_C12_2159_F_latrine.csv,NA,NA
12,2159,F,Young,5/19/2024,174.8,1.4,5/20/2024,157.2,1,16.20,Record,20240520_06.00_C12_2159_F_latrine_ps.csv,20240520_18.00_C12_2159_F_latrine.csv,NA,NA
12,2159,F,Young,5/20/2024,180.0,0.0,5/21/2024,162.8,1,17.20,Record,20240521_06.00_C12_2159_F_latrine_ps.csv,20240521_18.00_C12_2159_F_latrine.csv,NA,NA
12,2159,F,Young,5/21/2024,162.8,1.6,5/22/2024,144.5,1,16.70,Ctrl,20240522_06.00_C12_2159_F_latrine_ps.csv,20240522_18.00_C12_2159_F_latrine.csv,20240522_06.00_C12_2159_F_home_ps.csv,20240522_18.00_C12_2159_F_home_ps.csv
12,2159,F,Young,5/22/2024,195.3,0.9,5/23/2024,175.3,1,19.10,Ctrl,20240523_06.00_C12_2159_F_latrine.csv,20240523_18.00_C12_2159_F_latrine_ps.csv,20240523_06.00_C12_2159_F_home_ps.csv,20240523_18.00_C12_2159_F_home_ps.csv
12,2160,M,Young,5/18/2024,176.8,2.3,5/19/2024,159.2,1,15.30,Accl,20240519_06.00_C12_2160_M_latrine.csv,20240519_18.00_C12_2160_M_latrine.csv,NA,NA
12,2160,M,Young,5/19/2024,159.2,1.6,5/20/2024,140.0,1,17.60,Record,20240520_06.00_C12_2160_M_latrine.csv,20240520_18.00_C12_2160_M_latrine.csv,NA,NA
12,2160,M,Young,5/20/2024,170.0,0.6,5/21/2024,151.6,1,17.80,Record,20240521_06.00_C12_2160_M_latrine.csv,20240521_18.00_C12_2160_M_latrine.csv,NA,NA
12,2160,M,Young,5/21/2024,151.6,1.1,5/22/2024,136.8,1,13.70,Ctrl,20240522_06.00_C12_2160_M_latrine_ps.csv,20240522_18.00_C12_2160_M_latrine.csv,20240522_06.00_C12_2160_M_home_ps.csv,20240522_18.00_C12_2160_M_home.csv
12,2160,M,Young,5/22/2024,197.3,1.1,5/23/2024,179.4,1,16.80,Ctrl,20240523_06.00_C12_2160_M_latrine.csv,20240523_18.00_C12_2160_M_latrine.csv,20240523_06.00_C12_2160_M_home_ps.csv,20240523_18.00_C12_2160_M_home_ps.csv
12,2161,M,Young,5/18/2024,178.2,1.9,5/19/2024,162.6,1,13.70,Accl,20240519_06.00_C12_2161_M_latrine_ps.csv,20240519_18.00_C12_2161_M_latrine.csv,NA,NA
12,2161,M,Young,5/19/2024,162.6,1.7,5/20/2024,145.6,1,15.30,Record,20240520_06.00_C12_2161_M_latrine_ps.csv,20240520_18.00_C12_2161_M_latrine.csv,NA,NA
12,2161,M,Young,5/20/2024,172.5,1.5,5/21/2024,157.0,1,14.00,Record,20240521_06.00_C12_2161_M_latrine_ps.csv,20240521_18.00_C12_2161_M_latrine.csv,NA,NA
12,2161,M,Young,5/21/2024,157.0,0.8,5/22/2024,140.8,1,15.40,Ctrl,20240522_06.00_C12_2161_M_latrine.csv,20240522_18.00_C12_2161_M_latrine.csv,20240522_06.00_C12_2161_M_home_ps.csv,20240522_18.00_C12_2161_M_home_ps.csv
12,2161,M,Young,5/22/2024,184.6,1.3,5/23/2024,165.3,1,18.00,Ctrl,20240523_06.00_C12_2161_M_latrine_ps.csv,20240523_18.00_C12_2161_M_latrine.csv,20240523_06.00_C12_2161_M_home_ps.csv,20240523_18.00_C12_2161_M_home_ps.csv
