"","Round","Age","Sex","Cage","numMice","Trial","segment","Time","endDate","endTime","trialDur","cageType","trialType","TrueZero","Chewed","file_name","numVoids","totUrine","FP_Area","pct_cover","ChewSize"
"33",1,"Old","M",792,3,"08182022_792","L3","light","8/19/2022","6:05:00 PM",12,"latrine","Record","","","20220819_18.05_C2_792_M_latrine.csv",152,96.873,455.196,21.2816017715446,NA
"34",1,"Old","M",792,3,"08182022_792","D3","dark","8/20/2022","6:00:00 AM",12,"latrine","Record","","","20220820_06.00_C2_792_M_latrine_ps.csv",141,32.047,447.847,7.1557920450511,NA
"35",1,"Old","M",792,3,"08202022_792","L1","light","8/20/2022","6:00:00 PM",12,"latrine","Record","","","20220820_18.00_C2_792_M_latrine_ps.csv",184,116.577,450.312,25.8880509513404,NA
"36",1,"Old","M",792,3,"08202022_792","D1","dark","8/21/2022","6:00:00 AM",12,"latrine","Record","","","20220821_06.00_C2_792_M_latrine_ps.csv",193,143.602,466.534,30.7806076298834,NA
"37",1,"Old","M",792,3,"08202022_792","L2","light","8/21/2022","6:00:00 PM",12,"latrine","Record","","","20220821_18.00_C2_792_M_latrine_ps.csv",221,93.045,443.467,20.9812680537672,NA
"38",1,"Old","M",792,3,"08202022_792","D2","dark","8/22/2022","6:00:00 AM",12,"latrine","Record","","Y","20220822_06.00_C2_792_M_latrine.csv",131,130.433,470.477,27.7235656578324,"smallChew"
"39",1,"Young","M",875,4,"","","light","10/25/2022","6:00:00 PM",12,"latrine","Accl","","","20221025_18.00_C3_875_M_latrine.csv",149,89.931,431.66,20.8337580503174,NA
"40",1,"Young","M",875,4,"","","dark","10/26/2022","6:00:00 AM",12,"latrine","Accl","","Y","20221026_06.00_C3_875_M_latrine.csv",134,144.491,449.008,32.3038639005484,"bigChew"
"41",1,"Young","M",875,4,"","","light","10/26/2022","6:03:00 PM",12,"latrine","Accl","","","20221026_18.03_C3_875_M_latrine.csv",190,99.618,437.037,22.7939510842331,NA
"42",1,"Young","M",875,4,"","","dark","10/27/2022","6:00:00 AM",12,"latrine","Accl","","Y","20221027_06.00_C3_875_M_latrine.csv",190,77.436,452.268,17.1217065987423,"smallChew"
"43",1,"Young","M",875,4,"10272022_875","L1","light","10/27/2022","6:02:00 PM",12,"latrine","Record","","","20221027_18.02_C3_875_M_latrine.csv",67,38.761,442.905,8.75153814023323,NA
"44",1,"Young","M",875,4,"10272022_875","D1","dark","10/28/2022","6:03:00 AM",12,"latrine","Record","","Y","20221028_06.03_C3_875_M_latrine.csv",87,238.057,460.165,51.7329653493856,"smallChew"
"45",1,"Young","M",875,4,"10272022_875","L2","light","10/28/2022","6:02:00 PM",12,"latrine","Record","","Y","20221028_18.02_C3_875_M_latrine.csv",117,82.141,427.27,23.2755486364715,"bigChew"
"46",1,"Young","M",875,4,"10272022_875","D2","dark","10/29/2022","6:00:00 AM",12,"latrine","Record","","Y","20221029_06.00_C3_875_M_latrine.csv",87,127.377,445.994,29.1693409707867,"bigChew"
"47",1,"Young","M",875,4,"10292022_875","L1","light","10/29/2022","6:05:00 PM",12,"latrine","Ctrl","","Y","20221029_18.05_C3_875_M_latrine.csv",228,51.49,393.481,23.9731467182866,"bigChew"
"48",1,"Young","M",875,4,"10292022_875","L1","light","10/29/2022","6:12:00 PM",12,"home","Ctrl","","Y","20221029_18.12_C3_875_M_home.csv",155,28.014,431.603,10.2795053404521,"bigChew"
"49",1,"Young","M",875,4,"10292022_875","D1","dark","10/30/2022","6:00:00 AM",12,"home","Ctrl","","Y","20221030_06.00_C3_875_M_home.csv",70,133.309,394.075,42.0299995530313,"bigChew"
"50",1,"Young","M",875,4,"10292022_875","D1","dark","10/30/2022","6:00:00 AM",12,"latrine","Ctrl","","Y","20221030_06.00_C3_875_M_latrine.csv",171,65.79,441.081,16.5703372458704,"bigChew"
"51",1,"Young","M",875,4,"10292022_875","L2","light","10/30/2022","6:00:00 PM",12,"home","Ctrl","","Y","20221030_18.00_C3_875_M_home_ps.csv",138,150.72,435.386,36.7168720337897,"bigChew"
"52",1,"Young","M",875,4,"10292022_875","L2","light","10/30/2022","6:00:00 PM",12,"latrine","Ctrl","","Y","20221030_18.00_C3_875_M_latrine.csv",141,56.987,446.904,13.3188810493672,"bigChew"
