Age,Cage,Mouse_ID,Sex,Time,Tissue,Gene,foldChange
Young,2161,3266,M,PM,kidney,ENAC,0.80445722
Young,2161,3266,M,PM,kidney,V1R,0.24374559
Young,2161,3266,M,PM,kidney,V2R,0.46247208
Young,2161,3266,M,PM,kidney,AqP2,5.16625878
Young,2161,3266,M,PM,kidney,AqP4,2.35725452
Young,2161,3266,M,PM,kidney,AVP,3.87143469
Young,2161,3267,M,PM,kidney,Bmal1,0.28656764
Young,2161,3267,M,PM,kidney,Per2,3.91773716
Young,2161,3267,M,PM,kidney,Clock,0.51550396
Young,2161,3267,M,PM,kidney,ANPR,1.53801191
Young,2161,3267,M,PM,kidney,ENAC,1.99822877
Young,2161,3267,M,PM,kidney,V1R,1.02461665
Young,2161,3267,M,PM,kidney,V2R,1.90484536
Young,2161,3267,M,PM,kidney,AqP2,2.92476437
Young,2161,3267,M,PM,kidney,AqP4,1.19540355
Young,2161,3267,M,PM,kidney,AVP,0.69299961
Young,86,86_0,M,PM,kidney,Bmal1,0.09713816
Young,86,86_0,M,PM,kidney,Per2,4.95781399
Young,86,86_0,M,PM,kidney,Clock,1.58838225
Young,86,86_0,M,PM,kidney,ANPR,0.95603698
Young,86,86_0,M,PM,kidney,ENAC,1.66741737
Young,86,86_0,M,PM,kidney,V1R,0.67340553
Young,86,86_0,M,PM,kidney,V2R,0.86661195
Young,86,86_0,M,PM,kidney,AqP2,2.32600489
Young,86,86_0,M,PM,kidney,AqP4,0.39806188
Young,86,86_0,M,PM,kidney,AVP,1.16800714
Young,87,87_4,M,PM,kidney,Bmal1,0.32416758
Young,87,87_4,M,PM,kidney,Per2,4.80792661
Young,87,87_4,M,PM,kidney,Clock,1.77673929
Young,87,87_4,M,PM,kidney,ANPR,0.95377676
Young,87,87_4,M,PM,kidney,ENAC,1.20352726
Young,87,87_4,M,PM,kidney,V1R,0.78473907
Young,87,87_4,M,PM,kidney,V2R,0.95018315
Young,87,87_4,M,PM,kidney,AqP2,2.32600489
Young,87,87_4,M,PM,kidney,AqP4,0.39806188
Young,87,87_4,M,PM,kidney,AVP,1.16800714
Young,87,87_5,M,PM,kidney,Bmal1,0.96228624
Young,87,87_5,M,PM,kidney,Per2,9.08092584
Young,87,87_5,M,PM,kidney,Clock,2.49325119
Young,87,87_5,M,PM,kidney,ANPR,1.97627003
Young,87,87_5,M,PM,kidney,ENAC,0.90043944
Young,87,87_5,M,PM,kidney,V1R,0.52415457
Young,87,87_5,M,PM,kidney,V2R,1.08090012
Young,87,87_5,M,PM,kidney,AqP2,NA
Young,87,87_5,M,PM,kidney,AqP4,0.03352036
Young,87,87_5,M,PM,kidney,AVP,2.40114138
