Round,Cohort,Age,Cage,Sex,numMice,Time,endDate,endTime,trialDur,cageType,Trial,segment,trialNum,trialType,fileName,TrueZero,Chewed,PhotoShop,CSV
1,2,Old,792,M,3,light,8/18/2022,6:13:00 PM,12,latrine,08182022_792,L2,4,Record,20220818_18.13_C2_792_M_latrine.tiff,,,Y,20220818_18.13_C2_792_M_latrine_ps.csv
1,2,Old,792,M,3,dark,8/19/2022,6:05:00 AM,12,latrine,08182022_792,D2,4,Record,20220819_06.05_C2_792_M_latrine.tiff,,,Y,20220819_06.05_C2_792_M_latrine_ps.csv
1,2,Old,792,M,3,light,8/19/2022,6:05:00 PM,12,latrine,08182022_792,L3,5,Record,20220819_18.05_C2_792_M_latrine.tiff,,,,20220819_18.05_C2_792_M_latrine.csv
1,2,Old,792,M,3,dark,8/20/2022,6:00:00 AM,12,latrine,08182022_792,D3,5,Record,20220820_06.00_C2_792_M_latrine.tiff,,,Y,20220820_06.00_C2_792_M_latrine_ps.csv
1,2,Old,792,M,3,light,8/20/2022,6:00:00 PM,12,latrine,08202022_792,L1,6,Record,20220820_18.00_C2_792_M_latrine.tiff,,,Y,20220820_18.00_C2_792_M_latrine_ps.csv
1,2,Old,792,M,3,dark,8/21/2022,6:00:00 AM,12,latrine,08202022_792,D1,6,Record,20220821_06.00_C2_792_M_latrine.tiff,,,Y,20220821_06.00_C2_792_M_latrine_ps.csv
1,2,Old,792,M,3,light,8/21/2022,6:00:00 PM,12,latrine,08202022_792,L2,7,Record,20220821_18.00_C2_792_M_latrine.tiff,,,Y,20220821_18.00_C2_792_M_latrine_ps.csv
1,2,Old,792,M,3,dark,8/22/2022,6:00:00 AM,12,latrine,08202022_792,D2,7,Record,20220822_06.00_C2_792_M_latrine.tiff,,Y,,20220822_06.00_C2_792_M_latrine.csv
1,3,Young,875,M,4,light,10/25/2022,6:00:00 PM,12,latrine,,,1,Accl,20221025_18.00_C3_875_M_latrine.tiff,,,,20221025_18.00_C3_875_M_latrine.csv
1,3,Young,875,M,4,dark,10/26/2022,6:00:00 AM,12,latrine,,,1,Accl,20221026_06.00_C3_875_M_latrine.tiff,,Y,,20221026_06.00_C3_875_M_latrine.csv
1,3,Young,875,M,4,light,10/26/2022,6:03:00 PM,12,latrine,,,2,Accl,20221026_18.03_C3_875_M_latrine.tiff,,,,20221026_18.03_C3_875_M_latrine.csv
1,3,Young,875,M,4,dark,10/27/2022,6:00:00 AM,12,latrine,,,2,Accl,20221027_06.00_C3_875_M_latrine.tiff,,Y,,20221027_06.00_C3_875_M_latrine.csv
1,3,Young,875,M,4,light,10/27/2022,6:02:00 PM,12,latrine,10272022_875,L1,3,Record,20221027_18.02_C3_875_M_latrine.tiff,,,,20221027_18.02_C3_875_M_latrine.csv
1,3,Young,875,M,4,dark,10/28/2022,6:03:00 AM,12,latrine,10272022_875,D1,3,Record,20221028_06.03_C3_875_M_latrine.tiff,,Y,,20221028_06.03_C3_875_M_latrine.csv
1,3,Young,875,M,4,light,10/28/2022,6:02:00 PM,12,latrine,10272022_875,L2,4,Record,20221028_18.02_C3_875_M_latrine.tiff,,Y,,20221028_18.02_C3_875_M_latrine.csv
1,3,Young,875,M,4,dark,10/29/2022,6:00:00 AM,12,latrine,10272022_875,D2,4,Record,20221029_06.00_C3_875_M_latrine.tiff,,Y,,20221029_06.00_C3_875_M_latrine.csv
1,3,Young,875,M,4,light,10/29/2022,6:05:00 PM,12,latrine,10292022_875,L1,5,Ctrl,20221029_18.05_C3_875_M_latrine.tiff,,Y,,20221029_18.05_C3_875_M_latrine.csv
1,3,Young,875,M,4,light,10/29/2022,6:12:00 PM,12,home,10292022_875,L1,5,Ctrl,20221029_18.12_C3_875_M_home.tiff,,Y,,20221029_18.12_C3_875_M_home.csv
1,3,Young,875,M,4,dark,10/30/2022,6:00:00 AM,12,home,10292022_875,D1,5,Ctrl,20221030_06.00_C3_875_M_home.tiff,,Y,,20221030_06.00_C3_875_M_home.csv
1,3,Young,875,M,4,dark,10/30/2022,6:00:00 AM,12,latrine,10292022_875,D1,5,Ctrl,20221030_06.00_C3_875_M_latrine.tiff,,Y,,20221030_06.00_C3_875_M_latrine.csv
1,3,Young,875,M,4,light,10/30/2022,6:00:00 PM,12,home,10292022_875,L2,6,Ctrl,20221030_18.00_C3_875_M_home.tiff,,Y,Y,20221030_18.00_C3_875_M_home_ps.csv
1,3,Young,875,M,4,light,10/30/2022,6:00:00 PM,12,latrine,10292022_875,L2,6,Ctrl,20221030_18.00_C3_875_M_latrine.tiff,,Y,,20221030_18.00_C3_875_M_latrine.csv
1,3,Young,875,M,4,dark,10/31/2022,6:00:00 AM,12,home,10292022_875,D2,6,Ctrl,20221031_06.00_C3_875_M_home.tiff,,Y,,20221031_06.00_C3_875_M_home.csv
1,3,Young,875,M,4,dark,10/31/2022,6:00:00 AM,12,latrine,10292022_875,D2,6,Ctrl,20221031_06.00_C3_875_M_latrine.tiff,,Y,,20221031_06.00_C3_875_M_latrine.csv
1,3,Young,876,M,4,light,10/25/2022,6:03:00 PM,12,latrine,,,1,Accl,20221025_18.03_C3_876_M_latrine.tiff,,,,20221025_18.03_C3_876_M_latrine.csv
1,3,Young,876,M,4,dark,10/26/2022,6:05:00 AM,12,latrine,,,1,Accl,20221026_06.05_C3_876_M_latrine.tiff,,Y,,20221026_06.05_C3_876_M_latrine.csv
1,3,Young,876,M,4,light,10/26/2022,6:00:00 PM,12,latrine,,,2,Accl,20221026_18.00_C3_876_M_latrine.tiff,,Y,,20221026_18.00_C3_876_M_latrine.csv
1,3,Young,876,M,4,dark,10/27/2022,6:00:00 AM,12,latrine,,,2,Accl,20221027_06.00_C3_876_M_latrine.tiff,,Y,,20221027_06.00_C3_876_M_latrine.csv
1,3,Young,876,M,4,light,10/27/2022,6:06:00 PM,12,latrine,10272022_876,L1,3,Record,20221027_18.06_C3_876_M_latrine.tiff,,,,20221027_18.06_C3_876_M_latrine.csv
1,3,Young,876,M,4,dark,10/28/2022,6:06:00 AM,12,latrine,10272022_876,D1,3,Record,20221028_06.06_C3_876_M_latrine.tiff,,,,20221028_06.06_C3_876_M_latrine.csv
1,3,Young,876,M,4,light,10/28/2022,6:12:00 PM,12,latrine,10272022_876,L2,4,Record,20221028_18.12_C3_876_M_latrine.tiff,,Y,,20221028_18.12_C3_876_M_latrine.csv
1,3,Young,876,M,4,dark,10/29/2022,6:00:00 AM,12,latrine,10272022_876,D2,4,Record,20221029_06.00_C3_876_M_latrine.tiff,,Y,Y,20221029_06.00_C3_876_M_latrine_ps.csv
1,3,Young,876,M,4,light,10/29/2022,6:19:00 PM,12,home,10292022_876,L1,5,Ctrl,20221029_18.19_C3_876_M_home.tiff,,,Y,20221029_18.19_C3_876_M_home_ps.csv
1,3,Young,876,M,4,light,10/29/2022,6:23:00 PM,12,latrine,10292022_876,L1,5,Ctrl,20221029_18.23_C3_876_M_latrine.tiff,,Y,,20221029_18.23_C3_876_M_latrine.csv
1,3,Young,876,M,4,dark,10/30/2022,6:05:00 AM,12,home,10292022_876,D1,5,Ctrl,20221030_06.05_C3_876_M_home.tiff,,,,20221030_06.05_C3_876_M_home.csv
1,3,Young,876,M,4,dark,10/30/2022,6:05:00 AM,12,latrine,10292022_876,D1,5,Ctrl,20221030_06.05_C3_876_M_latrine.tiff,,Y,,20221030_06.05_C3_876_M_latrine.csv
1,3,Young,876,M,4,light,10/30/2022,6:00:00 PM,12,home,10292022_876,L2,6,Ctrl,20221030_18.00_C3_876_M_home.tiff,,,Y,20221030_18.00_C3_876_M_home_ps.csv
1,3,Young,876,M,4,light,10/30/2022,6:00:00 PM,12,latrine,10292022_876,L2,6,Ctrl,20221030_18.00_C3_876_M_latrine.tiff,,Y,,20221030_18.00_C3_876_M_latrine.csv
1,3,Young,876,M,4,dark,10/31/2022,6:05:00 AM,12,home,10292022_876,D2,6,Ctrl,20221031_06.05_C3_876_M_home.tiff,,Y,,20221031_06.05_C3_876_M_home.csv
1,3,Young,876,M,4,dark,10/31/2022,6:05:00 AM,12,latrine,10292022_876,D2,6,Ctrl,20221031_06.05_C3_876_M_latrine.tiff,,Y,,20221031_06.05_C3_876_M_latrine.csv
1,4,Old,81,F,4,dark,9/18/2023,6:00:00 AM,12,latrine,,,1,Accl,20230918_06.00_C4_081_F_latrine.tiff,,Y,Y,20230918_06.00_C4_081_F_latrine_ps.csv
1,4,Old,81,F,4,light,9/18/2023,6:00:00 PM,12,latrine,,,1,Accl,20230918_18.00_C4_081_F_latrine.tiff,,,,20230918_18.00_C4_081_F_latrine.csv
